Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
34.5526	IE-C004	16	3_1080	12438780	26	0	
34.5592	ES-C003	16	3_1080	19457806	26	0	
34.5596	ES-C004	16	3_1080	19457806	26	0	
34.5646	ES-C006	16	3_1080	19485642	26	0	
34.5726	ES-C001	16	3_1080	19457806	26	0	
34.5766	IE-C006	16	3_1080	9221709	18	0	
34.5786	ES-C002	16	3_1080	13353396	26	0	
34.5797	IE-C005	16	3_1080	12064184	26	0	
34.5836	IE-C002	16	3_1080	11968773	26	0	
36.5292	ES-C005	17	3_1080	17945276	24	0	
36.5422	IE-C003	17	3_1080	9524800	22	0	
36.5422	IE-C001	17	3_1080	11711491	24	0	
36.5526	IE-C004	17	3_1080	11691385	24	0	
36.5592	ES-C003	17	3_1080	19049600	24	0	
36.5596	ES-C004	17	3_1080	19022994	24	0	
36.5646	ES-C006	17	3_1080	19076280	24	0	
36.5726	ES-C001	17	3_1080	18970006	24	0	
36.5766	IE-C006	17	3_1080	9504860	20	0	
36.5786	ES-C002	17	3_1080	17945276	24	0	
36.5797	IE-C005	17	3_1080	11885222	24	0	
36.5836	IE-C002	17	3_1080	11885222	24	0	
38.5292	ES-C005	18	3_1080	14443758	22	0	
38.5422	IE-C003	18	3_1080	9367582	22	0	
38.5422	IE-C001	18	3_1080	11906000	22	0	
38.5526	IE-C004	18	3_1080	11958265	22	0	
38.5592	ES-C003	18	3_1080	19319808	22	0	
38.5596	ES-C004	18	3_1080	19156770	22	0	
38.5646	ES-C006	18	3_1080	19347250	22	0	
38.5726	ES-C001	18	3_1080	19183752	22	0	
38.5766	IE-C006	18	3_1080	9259323	22	0	
38.5786	ES-C002	18	3_1080	14443758	22	0	
38.5797	IE-C005	18	3_1080	12064184	22	0	
38.5836	IE-C002	18	3_1080	12139451	22	0	
40.5292	ES-C005	19	3_1080	18136436	20	0	
40.5422	IE-C003	19	3_1080	9701185	20	0	
40.5422	IE-C001	19	3_1080	12096327	20	0	
40.5526	IE-C004	19	3_1080	12096327	20	0	
40.5592	ES-C003	19	3_1080	19210810	20	0	
40.5596	ES-C004	19	3_1080	19049600	20	0	
40.5646	ES-C006	19	3_1080	19129866	20	0	
40.5726	ES-C001	19	3_1080	19076280	20	0	
40.5766	IE-C006	19	3_1080	9329085	20	0	
40.5786	ES-C002	19	3_1080	18136436	20	0	
40.5797	IE-C005	19	3_1080	11989845	20	0	
40.5836	IE-C002	19	3_1080	12139451	20	0	
42.5292	ES-C005	20	3_1080	14582938	18	0	
42.5422	IE-C003	20	3_1080	9770778	18	0	
42.5422	IE-C001	20	3_1080	12438780	18	0	
42.5526	IE-C004	20	3_1080	12484385	18	0	
42.5592	ES-C003	20	3_1080	19430048	18	0	
42.5596	ES-C004	20	3_1080	19711236	18	0	
42.5646	ES-C006	20	3_1080	19319808	18	0	
42.5726	ES-C001	20	3_1080	19711236	18	0	
42.5766	IE-C006	20	3_1080	9524800	18	0	
42.5786	ES-C002	20	3_1080	14567341	18	0	
42.5797	IE-C005	20	3_1080	12326212	18	0	
42.5836	IE-C002	20	3_1080	12315067	18	0	
44.5292	ES-C005	21	3_1080	17968950	16	0	
44.5422	IE-C003	21	3_1080	9511497	16	0	
44.5422	IE-C001	21	3_1080	12074879	16	0	
44.5526	IE-C004	21	3_1080	12021592	16	0	
44.5592	ES-C003	21	3_1080	19265154	16	0	
44.5596	ES-C004	21	3_1080	19374770	16	0	
44.5646	ES-C006	21	3_1080	19265154	16	0	
44.5726	ES-C001	21	3_1080	19319808	16	0	
44.5766	IE-C006	21	3_1080	9518144	16	0	
44.5786	ES-C002	21	3_1080	17968950	16	0	
44.5797	IE-C005	21	3_1080	12182884	16	0	
44.5836	IE-C002	21	3_1080	12171996	16	0	
46.5292	ES-C005	22	3_1080	13785895	14	0	
46.5422	IE-C003	22	3_1080	9618972	14	0	
46.5422	IE-C001	22	3_1080	12010991	14	0	
46.5526	IE-C004	22	3_1080	12021592	14	0	
46.5592	ES-C003	22	3_1080	19541556	14	0	
46.5596	ES-C004	22	3_1080	19022994	14	0	
46.5646	ES-C006	22	3_1080	19513558	14	0	
46.5726	ES-C001	22	3_1080	19237944	14	0	
46.5766	IE-C006	22	3_1080	9612183	14	0	
46.5786	ES-C002	22	3_1080	13785895	14	0	
46.5797	IE-C005	22	3_1080	12021592	14	0	
46.5836	IE-C002	22	3_1080	12021592	14	0	
48.5292	ES-C005	23	3_1080	17968950	12	0	
48.5422	IE-C003	23	3_1080	9659904	12	0	
48.5422	IE-C001	23	3_1080	12064184	12	0	
48.5526	IE-C004	23	3_1080	12064184	12	0	
48.5592	ES-C003	23	3_1080	19569632	12	0	
48.5596	ES-C004	23	3_1080	19682752	12	0	
48.5646	ES-C006	23	3_1080	19569632	12	0	
48.5726	ES-C001	23	3_1080	19682752	12	0	
48.5766	IE-C006	23	3_1080	9639394	12	0	
48.5786	ES-C002	23	3_1080	17945276	12	0	
48.5797	IE-C005	23	3_1080	12171996	12	0	
48.5836	IE-C002	23	3_1080	12171996	12	0	
50.5292	ES-C005	24	3_1080	18112320	10	0	
50.5422	IE-C003	24	3_1080	9653057	10	0	
50.5422	IE-C001	24	3_1080	12074879	10	0	
50.5526	IE-C004	24	3_1080	11979300	10	0	
50.5592	ES-C003	24	3_1080	19076280	10	0	
50.5596	ES-C004	24	3_1080	19156770	10	0	
50.5646	ES-C006	24	3_1080	19103036	10	0	
50.5726	ES-C001	24	3_1080	19265154	10	0	
50.5766	IE-C006	24	3_1080	9749795	10	0	
50.5786	ES-C002	24	3_1080	18088266	10	0	
50.5797	IE-C005	24	3_1080	11989845	10	0	
50.5836	IE-C002	24	3_1080	12000409	10	0	
52.5292	ES-C005	25	3_1080	14984009	8	0	
52.5422	IE-C003	25	3_1080	13498973	8	0	
52.5422	IE-C001	25	3_1080	12337377	8	0	
52.5526	IE-C004	25	3_1080	12348562	8	0	
52.5592	ES-C003	25	3_1080	19430048	8	0	
52.5596	ES-C004	25	3_1080	19210810	8	0	
52.5646	ES-C006	25	3_1080	19319808	8	0	
52.5726	ES-C001	25	3_1080	19210810	8	0	
52.5766	IE-C006	25	3_1080	14474457	8	0	
52.5786	ES-C002	25	3_1080	14967543	8	0	
52.5797	IE-C005	25	3_1080	12000409	8	0	
52.5836	IE-C002	25	3_1080	11979300	8	0	
54.5292	ES-C005	26	3_1080	17004324	6	0	
54.5422	IE-C003	26	3_1080	13771956	6	0	
54.5422	IE-C001	26	3_1080	12042851	6	0	
54.5526	IE-C004	26	3_1080	12042851	6	0	
54.5592	ES-C003	26	3_1080	19597790	6	0	
54.5596	ES-C004	26	3_1080	19654350	6	0	
54.5646	ES-C006	26	3_1080	19626028	6	0	
54.5726	ES-C001	26	3_1080	19739802	6	0	
54.5766	IE-C006	26	3_1080	13675165	6	0	
54.5786	ES-C002	26	3_1080	17004324	6	0	
54.5797	IE-C005	26	3_1080	12032212	6	0	
54.5836	IE-C002	26	3_1080	12042851	6	0	
56.5292	ES-C005	27	3_1080	14520751	4	0	
56.5422	IE-C003	27	3_1080	13301234	4	0	
56.5422	IE-C001	27	3_1080	12128641	4	0	
56.5526	IE-C004	27	3_1080	12139451	4	0	
56.5592	ES-C003	27	3_1080	20059594	4	0	
56.5596	ES-C004	27	3_1080	20089180	4	0	
56.5646	ES-C006	27	3_1080	20000682	4	0	
56.5726	ES-C001	27	3_1080	20059594	4	0	
56.5766	IE-C006	27	3_1080	13223751	4	0	
56.5786	ES-C002	27	3_1080	14520751	4	0	
56.5797	IE-C005	27	3_1080	12096327	4	0	
56.5836	IE-C002	27	3_1080	12096327	4	0	
58.5292	ES-C005	28	3_1080	20178466	2	0	
58.5422	IE-C003	28	3_1080	14869502	2	0	
58.5422	IE-C001	28	3_1080	12193791	2	0	
58.5526	IE-C004	28	3_1080	12193791	2	0	
58.5592	ES-C003	28	3_1080	21382204	2	0	
58.5596	ES-C004	28	3_1080	18658170	2	0	
58.5646	ES-C006	28	3_1080	21382204	2	0	
58.5726	ES-C001	28	3_1080	18480956	2	0	
58.5766	IE-C006	28	3_1080	15201411	2	0	
58.5786	ES-C002	28	3_1080	20208404	2	0	
58.5797	IE-C005	28	3_1080	12128641	2	0	
58.5836	IE-C002	28	3_1080	12107079	2	0	
60.5292	ES-C005	29	3_1080	19541556	0	0	
60.5422	IE-C003	29	3_1080	14173220	0	0	
60.5422	IE-C001	29	3_1080	12064184	0	0	
60.5526	IE-C004	29	3_1080	12053508	0	0	
60.5592	ES-C003	29	3_1080	19513558	0	0	
60.5596	ES-C004	29	3_1080	14740762	0	0	
60.5646	ES-C006	29	3_1080	19513558	0	0	
60.5726	ES-C001	29	3_1080	14820962	0	0	
60.5766	IE-C006	29	3_1080	14984009	0	0	
60.5786	ES-C002	29	3_1080	19739802	0	0	
60.5797	IE-C005	29	3_1080	13009039	0	0	
60.5836	IE-C002	29	3_1080	12922641	0	0	
