Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
24.5417	ES-C005	11	3_1080	27132398	28	0	
24.5472	ES-C003	11	3_1080	27186554	28	0	
24.5486	ES-C004	11	3_1080	27240928	28	0	
24.5546	IE-C001	11	3_1080	27078458	28	0	
24.5786	ES-C006	11	3_1080	27186554	28	0	
24.5836	IE-C006	11	3_1080	27078458	28	0	
24.5896	ES-C002	11	3_1080	27132398	28	0	
26.5092	IE-C003	12	3_1080	27024730	28	0	
26.5102	IE-C004	12	3_1080	27024730	28	0	
26.531	IE-C002	12	3_1080	27024730	28	0	
26.531	IE-C005	12	3_1080	27024730	28	0	
26.5312	ES-C001	12	3_1080	27186554	28	0	
26.5417	ES-C005	12	3_1080	27240928	28	0	
26.5472	ES-C003	12	3_1080	27295520	28	0	
26.5486	ES-C004	12	3_1080	27186554	28	0	
26.5546	IE-C001	12	3_1080	27024730	28	0	
26.5786	ES-C006	12	3_1080	27186554	28	0	
26.5836	IE-C006	12	3_1080	27024730	28	0	
26.5896	ES-C002	12	3_1080	27186554	28	0	
28.5092	IE-C003	13	3_1080	27186554	28	0	
28.5102	IE-C004	13	3_1080	27186554	28	0	
28.531	IE-C002	13	3_1080	27186554	28	0	
28.531	IE-C005	13	3_1080	27186554	28	0	
28.5312	ES-C001	13	3_1080	27132398	28	0	
28.5417	ES-C005	13	3_1080	27132398	28	0	
28.5472	ES-C003	13	3_1080	27132398	28	0	
28.5486	ES-C004	13	3_1080	27240928	28	0	
28.5546	IE-C001	13	3_1080	27186554	28	0	
28.5786	ES-C006	13	3_1080	27132398	28	0	
28.5836	IE-C006	13	3_1080	27186554	28	0	
28.5896	ES-C002	13	3_1080	27132398	28	0	
30.5092	IE-C003	14	3_1080	27295520	28	0	
30.5102	IE-C004	14	3_1080	27350330	28	0	
30.531	IE-C002	14	3_1080	27350330	28	0	
30.531	IE-C005	14	3_1080	27350330	28	0	
30.5312	ES-C001	14	3_1080	27078458	28	0	
30.5417	ES-C005	14	3_1080	27078458	28	0	
30.5472	ES-C003	14	3_1080	27078458	28	0	
30.5486	ES-C004	14	3_1080	27078458	28	0	
30.5546	IE-C001	14	3_1080	27350330	28	0	
30.5786	ES-C006	14	3_1080	27078458	28	0	
30.5836	IE-C006	14	3_1080	27350330	28	0	
30.5896	ES-C002	14	3_1080	27078458	28	0	
32.5092	IE-C003	15	3_1080	26811938	28	0	
32.5102	IE-C004	15	3_1080	26811938	28	0	
32.531	IE-C002	15	3_1080	26864820	28	0	
32.531	IE-C005	15	3_1080	26864820	28	0	
32.5312	ES-C001	15	3_1080	27024730	28	0	
32.5417	ES-C005	15	3_1080	27024730	28	0	
32.5472	ES-C003	15	3_1080	27024730	28	0	
32.5486	ES-C004	15	3_1080	27024730	28	0	
32.5546	IE-C001	15	3_1080	26811938	28	0	
32.5786	ES-C006	15	3_1080	27024730	28	0	
32.5836	IE-C006	15	3_1080	26811938	28	0	
32.5896	ES-C002	15	3_1080	27024730	28	0	
34.5092	IE-C003	16	3_1080	27132398	26	0	
34.5102	IE-C004	16	3_1080	27132398	26	0	
34.531	IE-C002	16	3_1080	27078458	26	0	
34.531	IE-C005	16	3_1080	27078458	26	0	
34.5312	ES-C001	16	3_1080	27186554	26	0	
34.5417	ES-C005	16	3_1080	27186554	26	0	
34.5472	ES-C003	16	3_1080	27240928	26	0	
34.5486	ES-C004	16	3_1080	27186554	26	0	
34.5546	IE-C001	16	3_1080	27132398	26	0	
34.5786	ES-C006	16	3_1080	27186554	26	0	
34.5836	IE-C006	16	3_1080	27132398	26	0	
34.5896	ES-C002	16	3_1080	27186554	26	0	
36.5092	IE-C003	17	3_1080	27295520	24	0	
36.5102	IE-C004	17	3_1080	27295520	24	0	
36.531	IE-C002	17	3_1080	27295520	24	0	
36.531	IE-C005	17	3_1080	27295520	24	0	
36.5312	ES-C001	17	3_1080	27350330	24	0	
36.5417	ES-C005	17	3_1080	27295520	24	0	
36.5472	ES-C003	17	3_1080	27240928	24	0	
36.5486	ES-C004	17	3_1080	27350330	24	0	
36.5546	IE-C001	17	3_1080	27350330	24	0	
36.5786	ES-C006	17	3_1080	27240928	24	0	
36.5836	IE-C006	17	3_1080	27295520	24	0	
36.5896	ES-C002	17	3_1080	27295520	24	0	
38.5092	IE-C003	18	3_1080	27295520	22	0	
38.5102	IE-C004	18	3_1080	27295520	22	0	
38.531	IE-C002	18	3_1080	27295520	22	0	
38.531	IE-C005	18	3_1080	27295520	22	0	
38.5312	ES-C001	18	3_1080	27024730	22	0	
38.5417	ES-C005	18	3_1080	27078458	22	0	
38.5472	ES-C003	18	3_1080	27024730	22	0	
38.5486	ES-C004	18	3_1080	27078458	22	0	
38.5546	IE-C001	18	3_1080	27295520	22	0	
38.5786	ES-C006	18	3_1080	27078458	22	0	
38.5836	IE-C006	18	3_1080	27295520	22	0	
38.5896	ES-C002	18	3_1080	27024730	22	0	
40.5092	IE-C003	19	3_1080	27240928	20	0	
40.5102	IE-C004	19	3_1080	27240928	20	0	
40.531	IE-C002	19	3_1080	27240928	20	0	
40.531	IE-C005	19	3_1080	27240928	20	0	
40.5312	ES-C001	19	3_1080	27350330	20	0	
40.5417	ES-C005	19	3_1080	27405360	20	0	
40.5472	ES-C003	19	3_1080	27405360	20	0	
40.5486	ES-C004	19	3_1080	27350330	20	0	
40.5546	IE-C001	19	3_1080	27240928	20	0	
40.5786	ES-C006	19	3_1080	27350330	20	0	
40.5836	IE-C006	19	3_1080	27240928	20	0	
40.5896	ES-C002	19	3_1080	27405360	20	0	
42.5092	IE-C003	20	3_1080	27078458	18	0	
42.5102	IE-C004	20	3_1080	27024730	18	0	
42.531	IE-C002	20	3_1080	27024730	18	0	
42.531	IE-C005	20	3_1080	27024730	18	0	
42.5312	ES-C001	20	3_1080	26917914	18	0	
42.5417	ES-C005	20	3_1080	26917914	18	0	
42.5472	ES-C003	20	3_1080	26917914	18	0	
42.5486	ES-C004	20	3_1080	26917914	18	0	
42.5546	IE-C001	20	3_1080	27024730	18	0	
42.5786	ES-C006	20	3_1080	26917914	18	0	
42.5836	IE-C006	20	3_1080	27078458	18	0	
42.5896	ES-C002	20	3_1080	26917914	18	0	
44.5092	IE-C003	21	3_1080	27186554	16	0	
44.5102	IE-C004	21	3_1080	27186554	16	0	
44.531	IE-C002	21	3_1080	27186554	16	0	
44.531	IE-C005	21	3_1080	27186554	16	0	
44.5312	ES-C001	21	3_1080	27186554	16	0	
44.5417	ES-C005	21	3_1080	27186554	16	0	
44.5472	ES-C003	21	3_1080	27186554	16	0	
44.5486	ES-C004	21	3_1080	27186554	16	0	
44.5546	IE-C001	21	3_1080	27186554	16	0	
44.5786	ES-C006	21	3_1080	27186554	16	0	
44.5836	IE-C006	21	3_1080	27186554	16	0	
44.5896	ES-C002	21	3_1080	27186554	16	0	
46.5092	IE-C003	22	3_1080	27186554	14	0	
46.5102	IE-C004	22	3_1080	27186554	14	0	
46.531	IE-C002	22	3_1080	27186554	14	0	
46.531	IE-C005	22	3_1080	27186554	14	0	
46.5312	ES-C001	22	3_1080	27460612	14	0	
46.5417	ES-C005	22	3_1080	27460612	14	0	
46.5472	ES-C003	22	3_1080	27460612	14	0	
46.5486	ES-C004	22	3_1080	27460612	14	0	
46.5546	IE-C001	22	3_1080	27186554	14	0	
46.5786	ES-C006	22	3_1080	27460612	14	0	
46.5836	IE-C006	22	3_1080	27186554	14	0	
46.5896	ES-C002	22	3_1080	27460612	14	0	
48.5092	IE-C003	23	3_1080	27350330	12	0	
48.5102	IE-C004	23	3_1080	27350330	12	0	
48.531	IE-C002	23	3_1080	27295520	12	0	
48.531	IE-C005	23	3_1080	27295520	12	0	
48.5312	ES-C001	23	3_1080	27571790	12	0	
48.5417	ES-C005	23	3_1080	27516088	12	0	
48.5472	ES-C003	23	3_1080	27516088	12	0	
48.5486	ES-C004	23	3_1080	27571790	12	0	
48.5546	IE-C001	23	3_1080	27295520	12	0	
48.5786	ES-C006	23	3_1080	27571790	12	0	
48.5836	IE-C006	23	3_1080	27350330	12	0	
48.5896	ES-C002	23	3_1080	27516088	12	0	
50.5092	IE-C003	24	3_1080	27132398	10	0	
50.5102	IE-C004	24	3_1080	27132398	10	0	
50.531	IE-C002	24	3_1080	27132398	10	0	
50.531	IE-C005	24	3_1080	27132398	10	0	
50.5312	ES-C001	24	3_1080	27132398	10	0	
50.5417	ES-C005	24	3_1080	27132398	10	0	
50.5472	ES-C003	24	3_1080	27132398	10	0	
50.5486	ES-C004	24	3_1080	27132398	10	0	
50.5546	IE-C001	24	3_1080	27132398	10	0	
50.5786	ES-C006	24	3_1080	27132398	10	0	
50.5836	IE-C006	24	3_1080	27132398	10	0	
50.5896	ES-C002	24	3_1080	27132398	10	0	
52.5092	IE-C003	25	3_1080	27683870	8	0	
52.5102	IE-C004	25	3_1080	27627716	8	0	
52.531	IE-C002	25	3_1080	27627716	8	0	
52.531	IE-C005	25	3_1080	27627716	8	0	
52.5312	ES-C001	25	3_1080	27350330	8	0	
52.5417	ES-C005	25	3_1080	27350330	8	0	
52.5472	ES-C003	25	3_1080	27295520	8	0	
52.5486	ES-C004	25	3_1080	27350330	8	0	
52.5546	IE-C001	25	3_1080	27627716	8	0	
52.5786	ES-C006	25	3_1080	27295520	8	0	
52.5836	IE-C006	25	3_1080	27627716	8	0	
52.5896	ES-C002	25	3_1080	27350330	8	0	
54.5092	IE-C003	26	3_1080	27186554	6	0	
54.5102	IE-C004	26	3_1080	27186554	6	0	
54.531	IE-C002	26	3_1080	27186554	6	0	
54.531	IE-C005	26	3_1080	27186554	6	0	
54.5312	ES-C001	26	3_1080	27078458	6	0	
54.5417	ES-C005	26	3_1080	27078458	6	0	
54.5472	ES-C003	26	3_1080	27132398	6	0	
54.5486	ES-C004	26	3_1080	27078458	6	0	
54.5546	IE-C001	26	3_1080	27186554	6	0	
54.5786	ES-C006	26	3_1080	27132398	6	0	
54.5836	IE-C006	26	3_1080	27186554	6	0	
54.5896	ES-C002	26	3_1080	27078458	6	0	
56.5092	IE-C003	27	3_1080	27240928	4	0	
56.5102	IE-C004	27	3_1080	27240928	4	0	
56.531	IE-C002	27	3_1080	27186554	4	0	
56.531	IE-C005	27	3_1080	27186554	4	0	
56.5312	ES-C001	27	3_1080	27078458	4	0	
56.5417	ES-C005	27	3_1080	27132398	4	0	
56.5472	ES-C003	27	3_1080	27078458	4	0	
56.5486	ES-C004	27	3_1080	27132398	4	0	
56.5546	IE-C001	27	3_1080	27240928	4	0	
56.5786	ES-C006	27	3_1080	27078458	4	0	
56.5836	IE-C006	27	3_1080	27240928	4	0	
56.5896	ES-C002	27	3_1080	27078458	4	0	
58.5092	IE-C003	28	3_1080	27078458	2	0	
58.5102	IE-C004	28	3_1080	27078458	2	0	
58.531	IE-C002	28	3_1080	27078458	2	0	
58.531	IE-C005	28	3_1080	27078458	2	0	
58.5312	ES-C001	28	3_1080	27186554	2	0	
58.5417	ES-C005	28	3_1080	27186554	2	0	
58.5472	ES-C003	28	3_1080	27186554	2	0	
58.5486	ES-C004	28	3_1080	27186554	2	0	
58.5546	IE-C001	28	3_1080	27024730	2	0	
58.5786	ES-C006	28	3_1080	27186554	2	0	
58.5836	IE-C006	28	3_1080	27078458	2	0	
58.5896	ES-C002	28	3_1080	27186554	2	0	
60.5092	IE-C003	29	3_1080	26864820	0	0	
60.5102	IE-C004	29	3_1080	26864820	0	0	
60.531	IE-C002	29	3_1080	26917914	0	0	
60.531	IE-C005	29	3_1080	26864820	0	0	
60.5312	ES-C001	29	3_1080	27078458	0	0	
60.5417	ES-C005	29	3_1080	27078458	0	0	
60.5472	ES-C003	29	3_1080	27078458	0	0	
60.5486	ES-C004	29	3_1080	27078458	0	0	
60.5546	IE-C001	29	3_1080	26917914	0	0	
60.5786	ES-C006	29	3_1080	27078458	0	0	
60.5836	IE-C006	29	3_1080	26917914	0	0	
60.5896	ES-C002	29	3_1080	27078458	0	0	
