Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
32.5432	IE-C006	15	3_1080	14708924	28	0	
32.5572	ES-C005	15	3_1080	14708924	28	0	
32.5597	ES-C004	15	3_1080	14708924	28	0	
32.5786	IE-C002	15	3_1080	14708924	28	0	
32.5786	IE-C004	15	3_1080	14708924	28	0	
32.5802	ES-C003	15	3_1080	14708924	28	0	
32.5806	ES-C002	15	3_1080	14708924	28	0	
32.5816	IE-C001	15	3_1080	14708924	28	0	
32.5836	IE-C003	15	3_1080	14708924	28	0	
32.5846	ES-C001	15	3_1080	14708924	28	0	
32.6006	ES-C006	15	3_1080	14708924	28	0	
34.5372	IE-C005	16	3_1080	14614232	26	0	
34.5432	IE-C006	16	3_1080	14614232	26	0	
34.5572	ES-C005	16	3_1080	14629929	26	0	
34.5597	ES-C004	16	3_1080	14629929	26	0	
34.5786	IE-C002	16	3_1080	14614232	26	0	
34.5786	IE-C004	16	3_1080	14614232	26	0	
34.5802	ES-C003	16	3_1080	14629929	26	0	
34.5806	ES-C002	16	3_1080	14629929	26	0	
34.5816	IE-C001	16	3_1080	14614232	26	0	
34.5836	IE-C003	16	3_1080	14614232	26	0	
34.5846	ES-C001	16	3_1080	14629929	26	0	
34.6006	ES-C006	16	3_1080	14629929	26	0	
36.5372	IE-C005	17	3_1080	14693057	24	0	
36.5432	IE-C006	17	3_1080	14693057	24	0	
36.5572	ES-C005	17	3_1080	14677224	24	0	
36.5597	ES-C004	17	3_1080	14677224	24	0	
36.5786	IE-C002	17	3_1080	14693057	24	0	
36.5786	IE-C004	17	3_1080	14693057	24	0	
36.5802	ES-C003	17	3_1080	14677224	24	0	
36.5806	ES-C002	17	3_1080	14677224	24	0	
36.5816	IE-C001	17	3_1080	14693057	24	0	
36.5836	IE-C003	17	3_1080	14693057	24	0	
36.5846	ES-C001	17	3_1080	14677224	24	0	
36.6006	ES-C006	17	3_1080	14677224	24	0	
38.5372	IE-C005	18	3_1080	14853287	22	0	
38.5432	IE-C006	18	3_1080	14853287	22	0	
38.5572	ES-C005	18	3_1080	14869502	22	0	
38.5597	ES-C004	18	3_1080	14885753	22	0	
38.5786	IE-C002	18	3_1080	14853287	22	0	
38.5786	IE-C004	18	3_1080	14853287	22	0	
38.5802	ES-C003	18	3_1080	14885753	22	0	
38.5806	ES-C002	18	3_1080	14869502	22	0	
38.5816	IE-C001	18	3_1080	14853287	22	0	
38.5836	IE-C003	18	3_1080	14853287	22	0	
38.5846	ES-C001	18	3_1080	14885753	22	0	
38.6006	ES-C006	18	3_1080	14885753	22	0	
40.5372	IE-C005	19	3_1080	14724826	20	0	
40.5432	IE-C006	19	3_1080	14724826	20	0	
40.5572	ES-C005	19	3_1080	14724826	20	0	
40.5597	ES-C004	19	3_1080	14724826	20	0	
40.5786	IE-C002	19	3_1080	14724826	20	0	
40.5786	IE-C004	19	3_1080	14724826	20	0	
40.5802	ES-C003	19	3_1080	14724826	20	0	
40.5806	ES-C002	19	3_1080	14724826	20	0	
40.5816	IE-C001	19	3_1080	14724826	20	0	
40.5836	IE-C003	19	3_1080	14724826	20	0	
40.5846	ES-C001	19	3_1080	14724826	20	0	
40.6006	ES-C006	19	3_1080	14724826	20	0	
42.5372	IE-C005	20	3_1080	14677224	18	0	
42.5432	IE-C006	20	3_1080	14677224	18	0	
42.5572	ES-C005	20	3_1080	14661425	18	0	
42.5597	ES-C004	20	3_1080	14661425	18	0	
42.5786	IE-C002	20	3_1080	14677224	18	0	
42.5786	IE-C004	20	3_1080	14677224	18	0	
42.5802	ES-C003	20	3_1080	14661425	18	0	
42.5806	ES-C002	20	3_1080	14661425	18	0	
42.5816	IE-C001	20	3_1080	14677224	18	0	
42.5836	IE-C003	20	3_1080	14677224	18	0	
42.5846	ES-C001	20	3_1080	14661425	18	0	
42.6006	ES-C006	20	3_1080	14661425	18	0	
44.5372	IE-C005	21	3_1080	14582938	16	0	
44.5432	IE-C006	21	3_1080	14582938	16	0	
44.5572	ES-C005	21	3_1080	14582938	16	0	
44.5597	ES-C004	21	3_1080	14582938	16	0	
44.5786	IE-C002	21	3_1080	14582938	16	0	
44.5786	IE-C004	21	3_1080	14582938	16	0	
44.5802	ES-C003	21	3_1080	14582938	16	0	
44.5806	ES-C002	21	3_1080	14582938	16	0	
44.5816	IE-C001	21	3_1080	14582938	16	0	
44.5836	IE-C003	21	3_1080	14582938	16	0	
44.5846	ES-C001	21	3_1080	14582938	16	0	
44.6006	ES-C006	21	3_1080	14582938	16	0	
46.5372	IE-C005	22	3_1080	14693057	14	0	
46.5432	IE-C006	22	3_1080	14693057	14	0	
46.5572	ES-C005	22	3_1080	14708924	14	0	
46.5597	ES-C004	22	3_1080	14708924	14	0	
46.5786	IE-C002	22	3_1080	14693057	14	0	
46.5786	IE-C004	22	3_1080	14693057	14	0	
46.5802	ES-C003	22	3_1080	14708924	14	0	
46.5806	ES-C002	22	3_1080	14708924	14	0	
46.5816	IE-C001	22	3_1080	14693057	14	0	
46.5836	IE-C003	22	3_1080	14693057	14	0	
46.5846	ES-C001	22	3_1080	14708924	14	0	
46.6006	ES-C006	22	3_1080	14708924	14	0	
48.5372	IE-C005	23	3_1080	14645660	12	0	
48.5432	IE-C006	23	3_1080	14645660	12	0	
48.5572	ES-C005	23	3_1080	14645660	12	0	
48.5597	ES-C004	23	3_1080	14645660	12	0	
48.5786	IE-C002	23	3_1080	14645660	12	0	
48.5786	IE-C004	23	3_1080	14645660	12	0	
48.5802	ES-C003	23	3_1080	14645660	12	0	
48.5806	ES-C002	23	3_1080	14645660	12	0	
48.5816	IE-C001	23	3_1080	14645660	12	0	
48.5836	IE-C003	23	3_1080	14645660	12	0	
48.5846	ES-C001	23	3_1080	14645660	12	0	
48.6006	ES-C006	23	3_1080	14645660	12	0	
50.5372	IE-C005	24	3_1080	14756732	10	0	
50.5432	IE-C006	24	3_1080	14756732	10	0	
50.5572	ES-C005	24	3_1080	14740762	10	0	
50.5597	ES-C004	24	3_1080	14740762	10	0	
50.5786	IE-C002	24	3_1080	14756732	10	0	
